station,datetime,temperature,precipitation,wind_speed,pressure
那覇,2025-08-20 00:00:00,27.8,0.0,4.4,1008.1
那覇,2025-08-20 01:00:00,28.0,0.0,5.3,1007.9
那覇,2025-08-20 02:00:00,27.9,0.0,4.1,1007.5
那覇,2025-08-20 03:00:00,27.7,0.0,4.1,1007.1
那覇,2025-08-20 04:00:00,27.7,0.0,4.4,1007.1
那覇,2025-08-20 05:00:00,27.6,0.0,4.0,1007.2
那覇,2025-08-20 06:00:00,27.7,0.0,3.9,1007.9
那覇,2025-08-20 07:00:00,28.3,0.0,4.0,1008.3
那覇,2025-08-20 08:00:00,29.3,0.0,5.6,1008.9
那覇,2025-08-20 09:00:00,29.4,0.0,4.7,1009.2
那覇,2025-08-20 10:00:00,29.7,0.0,5.2,1009.5
那覇,2025-08-20 11:00:00,30.6,0.0,5.3,1009.3
那覇,2025-08-20 12:00:00,30.9,0.0,5.7,1009.2
那覇,2025-08-20 13:00:00,31.3,0.0,5.8,1008.6
那覇,2025-08-20 14:00:00,31.5,0.0,5.5,1008.2
那覇,2025-08-20 15:00:00,31.2,0.0,5.0,1007.9
那覇,2025-08-20 16:00:00,31.4,0.0,3.7,1007.7
那覇,2025-08-20 17:00:00,30.8,0.0,3.9,1007.7
那覇,2025-08-20 18:00:00,29.9,0.0,3.9,1007.9
那覇,2025-08-20 19:00:00,29.3,0.0,4.0,1008.4
那覇,2025-08-20 20:00:00,29.2,0.0,3.1,1009.0
那覇,2025-08-20 21:00:00,28.9,0.0,3.6,1009.5
那覇,2025-08-20 22:00:00,28.7,0.0,3.2,1009.9
那覇,2025-08-20 23:00:00,28.6,0.0,3.9,1010.0
那覇,2025-08-21 00:00:00,28.5,0.0,3.5,1010.1
那覇,2025-08-21 01:00:00,28.4,0.0,2.3,1010.2
那覇,2025-08-21 02:00:00,28.2,0.0,1.4,1010.1
那覇,2025-08-21 03:00:00,28.1,0.0,1.9,1009.6
那覇,2025-08-21 04:00:00,26.6,0.5,3.3,1010.0
那覇,2025-08-21 05:00:00,25.7,14.5,2.8,1010.4
那覇,2025-08-21 06:00:00,25.7,0.0,2.0,1010.3
那覇,2025-08-21 07:00:00,26.6,0.0,1.8,1010.4
那覇,2025-08-21 08:00:00,28.5,0.0,1.0,1010.7
那覇,2025-08-21 09:00:00,29.8,0.0,2.2,1010.8
那覇,2025-08-21 10:00:00,30.9,0.0,3.8,1010.8
那覇,2025-08-21 11:00:00,31.4,0.0,3.7,1010.7
那覇,2025-08-21 12:00:00,31.6,0.0,3.0,1010.4
那覇,2025-08-21 13:00:00,30.9,0.0,4.4,1010.1
那覇,2025-08-21 14:00:00,31.6,0.0,4.4,1009.6
那覇,2025-08-21 15:00:00,31.7,0.0,4.0,1009.2
那覇,2025-08-21 16:00:00,32.3,0.0,2.9,1008.4
那覇,2025-08-21 17:00:00,31.6,0.0,3.9,1008.2
那覇,2025-08-21 18:00:00,30.4,0.0,4.0,1008.3
那覇,2025-08-21 19:00:00,29.5,0.0,3.1,1008.7
那覇,2025-08-21 20:00:00,29.0,0.0,3.4,1008.7
那覇,2025-08-21 21:00:00,28.9,0.0,2.5,1009.2
那覇,2025-08-21 22:00:00,28.7,0.0,3.3,1009.6
那覇,2025-08-21 23:00:00,28.6,0.0,2.9,1009.8
那覇,2025-08-22 00:00:00,28.6,0.0,2.1,1010.0
那覇,2025-08-22 01:00:00,28.5,0.0,1.5,1009.6
那覇,2025-08-22 02:00:00,28.4,0.0,2.0,1009.1
那覇,2025-08-22 03:00:00,28.3,0.0,0.8,1008.9
那覇,2025-08-22 04:00:00,28.0,0.0,0.1,1008.9
那覇,2025-08-22 05:00:00,26.9,4.0,2.2,1009.2
那覇,2025-08-22 06:00:00,26.7,4.0,0.6,1009.2
那覇,2025-08-22 07:00:00,27.7,0.0,1.0,1009.4
那覇,2025-08-22 08:00:00,27.4,0.5,0.7,1009.8
那覇,2025-08-22 09:00:00,29.4,0.5,0.6,1009.9
那覇,2025-08-22 10:00:00,30.5,0.0,1.3,1010.2
那覇,2025-08-22 11:00:00,29.9,0.0,1.4,1010.0
那覇,2025-08-22 12:00:00,30.7,0.0,3.6,1009.9
那覇,2025-08-22 13:00:00,29.2,0.0,2.5,1009.9
那覇,2025-08-22 14:00:00,30.7,0.0,2.7,1009.3
那覇,2025-08-22 15:00:00,30.6,0.0,1.2,1009.1
那覇,2025-08-22 16:00:00,30.6,0.0,1.3,1008.6
那覇,2025-08-22 17:00:00,30.3,0.0,2.5,1008.5
那覇,2025-08-22 18:00:00,30.8,0.0,2.6,1008.6
那覇,2025-08-22 19:00:00,29.7,0.0,2.7,1008.9
那覇,2025-08-22 20:00:00,29.4,0.0,2.5,1009.3
那覇,2025-08-22 21:00:00,29.1,0.0,2.0,1009.6
那覇,2025-08-22 22:00:00,28.7,0.0,1.8,1010.0
那覇,2025-08-22 23:00:00,28.7,0.0,3.0,1009.8
