station,datetime,temperature,precipitation,wind_speed,pressure
熊本,2025-08-20 00:00:00,27.2,0.0,0.6,1008.9
熊本,2025-08-20 01:00:00,26.9,0.0,1.1,1008.5
熊本,2025-08-20 02:00:00,26.4,0.0,0.9,1008.3
熊本,2025-08-20 03:00:00,26.2,0.0,1.1,1008.1
熊本,2025-08-20 04:00:00,26.0,0.0,1.1,1008.2
熊本,2025-08-20 05:00:00,25.7,0.0,1.0,1008.4
熊本,2025-08-20 06:00:00,25.8,0.0,0.6,1008.7
熊本,2025-08-20 07:00:00,26.6,0.0,0.8,1008.8
熊本,2025-08-20 08:00:00,28.3,0.0,1.4,1008.7
熊本,2025-08-20 09:00:00,30.2,0.0,1.0,1008.6
熊本,2025-08-20 10:00:00,31.2,0.0,1.3,1008.6
熊本,2025-08-20 11:00:00,32.7,0.0,1.3,1008.3
熊本,2025-08-20 12:00:00,34.1,0.0,1.0,1007.4
熊本,2025-08-20 13:00:00,34.2,0.0,2.8,1006.7
熊本,2025-08-20 14:00:00,28.3,0.0,10.9,1007.4
熊本,2025-08-20 15:00:00,25.3,4.5,1.8,1007.1
熊本,2025-08-20 16:00:00,27.8,0.0,1.4,1006.7
熊本,2025-08-20 17:00:00,27.2,0.0,2.4,1006.7
熊本,2025-08-20 18:00:00,27.8,0.0,1.7,1007.1
熊本,2025-08-20 19:00:00,27.4,0.0,1.5,1007.1
熊本,2025-08-20 20:00:00,27.0,0.0,0.5,1007.0
熊本,2025-08-20 21:00:00,26.2,0.0,1.8,1007.3
熊本,2025-08-20 22:00:00,26.0,0.0,1.4,1007.5
熊本,2025-08-20 23:00:00,25.8,0.0,0.3,1007.3
熊本,2025-08-21 00:00:00,25.5,0.0,1.9,1007.3
熊本,2025-08-21 01:00:00,24.8,0.0,1.9,1006.9
熊本,2025-08-21 02:00:00,24.8,0.0,1.9,1006.9
熊本,2025-08-21 03:00:00,24.5,0.0,1.1,1006.9
熊本,2025-08-21 04:00:00,24.1,0.0,1.7,1006.7
熊本,2025-08-21 05:00:00,24.5,0.0,1.5,1006.9
熊本,2025-08-21 06:00:00,24.9,0.0,1.1,1006.5
熊本,2025-08-21 07:00:00,26.1,0.0,2.2,1006.7
熊本,2025-08-21 08:00:00,28.0,0.0,0.5,1006.9
熊本,2025-08-21 09:00:00,28.9,0.0,0.6,1006.7
熊本,2025-08-21 10:00:00,31.3,0.0,0.9,1006.2
熊本,2025-08-21 11:00:00,32.6,0.0,0.8,1005.9
熊本,2025-08-21 12:00:00,32.9,0.0,1.8,1005.1
熊本,2025-08-21 13:00:00,33.4,0.0,2.7,1004.5
熊本,2025-08-21 14:00:00,32.8,0.0,2.0,1004.2
熊本,2025-08-21 15:00:00,31.9,0.0,5.3,1004.0
熊本,2025-08-21 16:00:00,33.3,0.0,3.5,1003.4
熊本,2025-08-21 17:00:00,32.9,0.0,2.4,1003.4
熊本,2025-08-21 18:00:00,31.7,0.0,3.1,1003.4
熊本,2025-08-21 19:00:00,30.5,0.0,1.5,1003.7
熊本,2025-08-21 20:00:00,29.3,0.0,2.0,1004.2
熊本,2025-08-21 21:00:00,28.6,0.0,1.7,1004.4
熊本,2025-08-21 22:00:00,28.0,0.0,1.6,1004.6
熊本,2025-08-21 23:00:00,27.6,0.0,1.7,1004.5
熊本,2025-08-22 00:00:00,27.5,0.0,1.8,1004.6
熊本,2025-08-22 01:00:00,27.4,0.0,1.9,1004.4
熊本,2025-08-22 02:00:00,27.5,0.0,1.5,1004.5
熊本,2025-08-22 03:00:00,26.9,0.0,1.1,1004.4
熊本,2025-08-22 04:00:00,26.5,0.0,0.9,1004.4
熊本,2025-08-22 05:00:00,26.1,0.0,1.4,1004.4
熊本,2025-08-22 06:00:00,26.0,0.0,1.3,1004.5
熊本,2025-08-22 07:00:00,26.1,0.0,1.6,1005.1
熊本,2025-08-22 08:00:00,26.5,0.0,0.9,1005.4
熊本,2025-08-22 09:00:00,28.0,0.0,0.5,1005.5
熊本,2025-08-22 10:00:00,29.1,0.0,2.0,1005.7
熊本,2025-08-22 11:00:00,30.8,0.0,3.4,1005.7
熊本,2025-08-22 12:00:00,31.3,0.0,1.6,1005.4
熊本,2025-08-22 13:00:00,32.3,0.0,3.2,1005.0
熊本,2025-08-22 14:00:00,32.8,0.0,4.4,1004.7
熊本,2025-08-22 15:00:00,32.2,0.0,5.3,1004.5
熊本,2025-08-22 16:00:00,31.1,0.0,6.5,1004.6
熊本,2025-08-22 17:00:00,29.9,0.0,5.1,1004.6
熊本,2025-08-22 18:00:00,28.9,0.0,2.0,1004.9
熊本,2025-08-22 19:00:00,25.5,25.0,3.6,1006.0
熊本,2025-08-22 20:00:00,25.2,27.5,2.3,1006.6
熊本,2025-08-22 21:00:00,25.7,10.0,1.8,1007.3
熊本,2025-08-22 22:00:00,25.8,1.5,1.5,1007.5
熊本,2025-08-22 23:00:00,25.7,0.0,1.6,1007.4
