station,datetime,temperature,precipitation,wind_speed,pressure
宮崎,2025-09-04 00:00:00,25.8,3.5,6.0,1006.8
宮崎,2025-09-04 01:00:00,25.5,18.5,5.2,1007.3
宮崎,2025-09-04 02:00:00,25.5,4.0,2.2,1007.1
宮崎,2025-09-04 03:00:00,25.4,9.5,3.7,1006.9
宮崎,2025-09-04 04:00:00,26.5,34.0,5.4,1006.6
宮崎,2025-09-04 05:00:00,25.8,25.5,2.4,1007.2
宮崎,2025-09-04 06:00:00,25.9,8.0,1.6,1006.9
宮崎,2025-09-04 07:00:00,26.7,0.5,3.9,1007.0
宮崎,2025-09-04 08:00:00,26.9,0.5,5.4,1006.9
宮崎,2025-09-04 09:00:00,26.1,1.0,4.3,1007.1
宮崎,2025-09-04 10:00:00,26.2,5.0,5.8,1006.8
宮崎,2025-09-04 11:00:00,25.6,9.5,4.9,1005.5
宮崎,2025-09-04 12:00:00,25.2,12.5,5.0,1004.2
宮崎,2025-09-04 13:00:00,26.0,7.0,6.9,1003.4
宮崎,2025-09-04 14:00:00,25.6,28.5,3.8,1001.7
宮崎,2025-09-04 15:00:00,25.8,34.5,8.1,1000.4
宮崎,2025-09-04 16:00:00,25.6,21.0,3.4,999.4
宮崎,2025-09-04 17:00:00,25.7,19.0,3.3,998.3
宮崎,2025-09-04 18:00:00,25.1,22.5,8.0,997.7
宮崎,2025-09-04 19:00:00,25.2,6.5,6.0,998.8
宮崎,2025-09-04 20:00:00,25.7,0.5,3.0,999.5
宮崎,2025-09-04 21:00:00,26.7,0.0,5.5,1000.9
宮崎,2025-09-04 22:00:00,26.5,0.0,4.4,1001.6
宮崎,2025-09-04 23:00:00,27.0,0.0,6.7,1002.3
宮崎,2025-09-05 00:00:00,27.2,0.0,4.9,1002.7
宮崎,2025-09-05 01:00:00,27.5,0.0,5.8,1003.1
宮崎,2025-09-05 02:00:00,26.6,0.0,6.0,1003.6
宮崎,2025-09-05 03:00:00,26.5,0.0,5.6,1004.3
宮崎,2025-09-05 04:00:00,26.3,0.0,6.9,1004.5
宮崎,2025-09-05 05:00:00,26.0,0.0,6.2,1004.6
宮崎,2025-09-05 06:00:00,26.1,0.0,5.3,1005.3
宮崎,2025-09-05 07:00:00,27.0,0.0,5.6,1006.2
宮崎,2025-09-05 08:00:00,29.0,0.0,5.6,1006.6
宮崎,2025-09-05 09:00:00,30.3,0.0,5.5,1007.2
宮崎,2025-09-05 10:00:00,32.0,0.0,5.7,1007.6
宮崎,2025-09-05 11:00:00,33.7,0.0,4.5,1007.3
宮崎,2025-09-05 12:00:00,34.9,0.0,4.2,1007.0
宮崎,2025-09-05 13:00:00,35.5,0.0,3.0,1006.8
宮崎,2025-09-05 14:00:00,35.8,0.0,2.8,1006.5
宮崎,2025-09-05 15:00:00,33.9,0.0,2.9,1006.2
宮崎,2025-09-05 16:00:00,34.2,0.0,3.4,1006.1
宮崎,2025-09-05 17:00:00,34.1,0.0,1.8,1006.5
宮崎,2025-09-05 18:00:00,33.5,0.0,1.4,1006.8
宮崎,2025-09-05 19:00:00,31.7,0.0,2.4,1007.6
宮崎,2025-09-05 20:00:00,30.5,0.0,2.6,1008.4
宮崎,2025-09-05 21:00:00,29.5,0.0,2.3,1009.1
宮崎,2025-09-05 22:00:00,29.3,0.0,2.6,1009.5
宮崎,2025-09-05 23:00:00,28.6,0.0,1.1,1009.6
宮崎,2025-09-06 00:00:00,27.9,0.0,1.7,1009.4
宮崎,2025-09-06 01:00:00,27.4,0.0,3.4,1009.3
宮崎,2025-09-06 02:00:00,27.0,0.0,3.2,1009.1
宮崎,2025-09-06 03:00:00,26.6,0.0,2.7,1008.9
宮崎,2025-09-06 04:00:00,26.2,0.0,3.1,1009.1
宮崎,2025-09-06 05:00:00,25.9,0.0,2.2,1009.3
宮崎,2025-09-06 06:00:00,26.2,0.0,4.1,1009.6
宮崎,2025-09-06 07:00:00,26.9,0.0,2.7,1009.9
宮崎,2025-09-06 08:00:00,29.1,0.0,3.1,1010.0
宮崎,2025-09-06 09:00:00,31.2,0.0,2.6,1010.2
宮崎,2025-09-06 10:00:00,31.9,0.0,2.9,1010.0
宮崎,2025-09-06 11:00:00,31.3,0.0,3.9,1009.9
宮崎,2025-09-06 12:00:00,31.9,0.0,4.4,1009.3
宮崎,2025-09-06 13:00:00,32.4,0.0,4.6,1008.6
宮崎,2025-09-06 14:00:00,31.7,0.0,5.5,1008.3
宮崎,2025-09-06 15:00:00,31.8,0.0,5.9,1008.1
宮崎,2025-09-06 16:00:00,31.8,0.0,4.0,1007.9
宮崎,2025-09-06 17:00:00,31.5,0.0,2.5,1008.1
宮崎,2025-09-06 18:00:00,30.7,0.0,1.9,1008.4
宮崎,2025-09-06 19:00:00,29.3,0.0,1.4,1008.7
宮崎,2025-09-06 20:00:00,29.1,0.0,2.1,1009.3
宮崎,2025-09-06 21:00:00,28.8,0.0,2.3,1009.9
宮崎,2025-09-06 22:00:00,28.3,0.0,3.3,1010.2
宮崎,2025-09-06 23:00:00,27.8,0.0,2.6,1009.8
