station,datetime,temperature,precipitation,wind_speed,pressure
鹿児島,2025-07-27 01:00:00,27.8,0.5,5.5,1000.9
鹿児島,2025-07-27 02:00:00,27.7,0.0,7.5,1000.9
鹿児島,2025-07-27 03:00:00,27.8,0.0,7.3,1000.8
鹿児島,2025-07-27 04:00:00,28.0,0.0,6.1,1000.3
鹿児島,2025-07-27 05:00:00,28.3,0.0,7.4,1000.2
鹿児島,2025-07-27 06:00:00,27.8,0.0,5.8,1000.4
鹿児島,2025-07-27 07:00:00,28.5,0.0,5.6,1000.5
鹿児島,2025-07-27 08:00:00,29.4,0.0,6.3,1000.6
鹿児島,2025-07-27 09:00:00,29.4,0.0,6.3,1000.4
鹿児島,2025-07-27 10:00:00,29.0,0.5,8.5,1000.4
鹿児島,2025-07-27 11:00:00,31.2,0.0,7.7,1000.3
鹿児島,2025-07-27 12:00:00,28.6,0.0,9.3,1001.1
鹿児島,2025-07-27 13:00:00,30.5,0.0,7.6,1000.6
鹿児島,2025-07-27 14:00:00,30.0,0.0,7.5,1000.3
鹿児島,2025-07-27 15:00:00,31.0,0.0,6.6,1000.4
鹿児島,2025-07-27 16:00:00,30.6,0.0,6.1,1000.0
鹿児島,2025-07-27 17:00:00,30.8,0.0,6.7,1000.0
鹿児島,2025-07-27 18:00:00,30.0,0.0,7.4,1000.1
鹿児島,2025-07-27 19:00:00,29.5,0.0,6.1,1000.7
鹿児島,2025-07-27 20:00:00,29.1,0.0,5.1,1001.1
鹿児島,2025-07-27 21:00:00,28.9,0.0,6.2,1001.1
鹿児島,2025-07-27 22:00:00,28.7,0.0,5.6,1001.3
鹿児島,2025-07-27 23:00:00,28.5,0.0,6.2,1001.3
鹿児島,2025-07-28 00:00:00,28.3,0.0,6.7,1001.1
鹿児島,2025-07-28 01:00:00,28.2,0.0,6.0,1000.8
鹿児島,2025-07-28 02:00:00,28.0,0.0,6.5,1000.7
鹿児島,2025-07-28 03:00:00,27.8,0.0,5.3,1000.3
鹿児島,2025-07-28 04:00:00,28.0,0.0,4.8,999.9
鹿児島,2025-07-28 05:00:00,27.6,0.0,5.2,999.9
鹿児島,2025-07-28 06:00:00,27.6,0.0,4.7,1000.2
鹿児島,2025-07-28 07:00:00,28.4,0.0,4.6,999.9
鹿児島,2025-07-28 08:00:00,29.5,0.0,5.7,999.9
鹿児島,2025-07-28 09:00:00,30.6,0.0,5.0,999.5
鹿児島,2025-07-28 10:00:00,31.4,0.0,5.5,999.5
鹿児島,2025-07-28 11:00:00,32.5,0.0,5.4,999.4
鹿児島,2025-07-28 12:00:00,33.3,0.0,6.9,999.1
鹿児島,2025-07-28 13:00:00,33.5,0.0,9.1,998.8
鹿児島,2025-07-28 14:00:00,33.8,0.0,8.6,998.2
鹿児島,2025-07-28 15:00:00,33.8,0.0,6.2,997.5
鹿児島,2025-07-28 16:00:00,33.2,0.0,8.8,997.8
鹿児島,2025-07-28 17:00:00,32.1,0.0,9.6,997.4
鹿児島,2025-07-28 18:00:00,31.1,0.0,6.8,997.2
鹿児島,2025-07-28 19:00:00,30.2,0.0,5.3,997.5
鹿児島,2025-07-28 20:00:00,29.5,0.0,6.3,998.0
鹿児島,2025-07-28 21:00:00,29.2,0.0,6.6,998.2
鹿児島,2025-07-28 22:00:00,29.0,0.0,6.6,998.4
鹿児島,2025-07-28 23:00:00,28.3,0.0,5.7,998.4
鹿児島,2025-07-29 00:00:00,27.9,0.0,4.8,997.9
鹿児島,2025-07-29 01:00:00,28.0,0.0,4.3,997.6
鹿児島,2025-07-29 02:00:00,28.1,0.0,4.7,997.2
鹿児島,2025-07-29 03:00:00,27.9,0.0,4.2,997.4
鹿児島,2025-07-29 04:00:00,28.1,0.0,3.8,997.4
鹿児島,2025-07-29 05:00:00,28.0,0.0,1.9,997.5
鹿児島,2025-07-29 06:00:00,27.8,0.0,2.4,997.6
鹿児島,2025-07-29 07:00:00,28.6,0.0,4.2,998.1
鹿児島,2025-07-29 08:00:00,29.0,0.0,4.4,998.1
鹿児島,2025-07-29 09:00:00,30.5,0.0,5.5,997.8
鹿児島,2025-07-29 10:00:00,31.4,0.0,7.4,998.1
鹿児島,2025-07-29 11:00:00,31.4,0.0,4.4,997.6
鹿児島,2025-07-29 12:00:00,30.8,0.0,5.2,997.7
鹿児島,2025-07-29 13:00:00,31.9,0.0,5.2,997.4
鹿児島,2025-07-29 14:00:00,32.5,0.0,5.1,997.0
鹿児島,2025-07-29 15:00:00,32.1,0.0,5.2,997.1
鹿児島,2025-07-29 16:00:00,31.8,0.0,4.0,996.7
鹿児島,2025-07-29 17:00:00,31.3,0.0,4.7,996.6
鹿児島,2025-07-29 18:00:00,30.9,0.0,3.2,996.8
鹿児島,2025-07-29 19:00:00,29.8,0.0,3.4,996.9
鹿児島,2025-07-29 20:00:00,29.0,0.0,4.7,997.5
鹿児島,2025-07-29 21:00:00,28.4,0.0,5.9,998.3
鹿児島,2025-07-29 22:00:00,28.4,0.0,4.0,999.0
鹿児島,2025-07-29 23:00:00,28.2,0.0,4.5,998.9
